timestamp, frame, x, y, z, qx, qy, qz, qw
297953.682058875, 000000, 0.015263274, 0.021556774, -0.0032478683, 0.6882653, -0.7090456, 0.06512464, 0.13893925
297953.698726791, 000001, 0.015439829, 0.021344611, -0.0037753673, 0.6884651, -0.70880306, 0.06509964, 0.13919756
297953.715394666, 000002, 0.015871305, 0.02119561, -0.0043219742, 0.6878079, -0.70936376, 0.06385035, 0.14016622
297953.732062375, 000003, 0.016392132, 0.021097926, -0.0049229097, 0.6868754, -0.7102005, 0.06300127, 0.14088377
297953.748730416, 000004, 0.016794628, 0.021079227, -0.005664697, 0.6858621, -0.7112086, 0.06343997, 0.14053781
297953.765398166, 000005, 0.017155044, 0.021105139, -0.00646564, 0.6858088, -0.71101546, 0.064038746, 0.14150065
297953.782066041, 000006, 0.017498001, 0.020144358, -0.0073391944, 0.6859726, -0.7106617, 0.06398937, 0.14250243
297953.798733875, 000007, 0.017895408, 0.019862214, -0.008149974, 0.6858462, -0.71063656, 0.06393465, 0.14325853
297953.815401833, 000008, 0.018319353, 0.019805199, -0.008954015, 0.6856056, -0.71077996, 0.063952, 0.1436906
297953.832069666, 000009, 0.018739495, 0.01982371, -0.009777635, 0.68538177, -0.71095955, 0.064047225, 0.14382675
297953.848737583, 000010, 0.019125976, 0.019853828, -0.010676485, 0.6848307, -0.7116507, 0.064228475, 0.14295007
297953.865405458, 000011, 0.019548351, 0.019876394, -0.0116177, 0.6846624, -0.71177447, 0.064305596, 0.14310531
297953.882073333, 000012, 0.018747866, 0.018610658, -0.009299777, 0.68472636, -0.7117775, 0.06445486, 0.14271684
297953.898741208, 000013, 0.018737143, 0.018187951, -0.00912266, 0.6846228, -0.7118604, 0.064445406, 0.14280461
297953.915408958, 000014, 0.019021675, 0.01803223, -0.009656448, 0.6843762, -0.7120585, 0.064450115, 0.14299716
297953.932076875, 000015, 0.019428674, 0.017960275, -0.010454316, 0.6840742, -0.71226376, 0.06452862, 0.14338358
297953.948744708, 000016, 0.019854024, 0.017908556, -0.011385262, 0.6834614, -0.71294165, 0.0647278, 0.14284644
297953.965412541, 000017, 0.02034477, 0.017868223, -0.012326123, 0.68327135, -0.71305114, 0.06485109, 0.14315262
297953.9820805, 000018, 0.019623011, 0.017066218, -0.010844193, 0.6834814, -0.7126731, 0.062821336, 0.14492701
297953.998748333, 000019, 0.019671869, 0.016764116, -0.010912444, 0.6835411, -0.7125844, 0.06208716, 0.14539656
297954.01541625, 000020, 0.019977212, 0.016606431, -0.011538245, 0.6835227, -0.7125614, 0.061745558, 0.14574073
297954.032084125, 000021, 0.020387646, 0.016485222, -0.0124081485, 0.6834002, -0.71258914, 0.061595876, 0.14624241
297954.048752041, 000022, 0.020818809, 0.016376998, -0.013431756, 0.6829612, -0.71300477, 0.06166477, 0.14623834
297954.065419791, 000023, 0.021288415, 0.016285114, -0.014536625, 0.6828756, -0.71296394, 0.062045116, 0.14667565
297954.082087666, 000024, 0.020652775, 0.0156831, -0.0128430575, 0.68299663, -0.71275645, 0.061922796, 0.14717157
297954.098755583, 000025, 0.020770758, 0.015451876, -0.012975045, 0.68295264, -0.7127321, 0.061890148, 0.1475066
297954.115423416, 000026, 0.02115506, 0.01534022, -0.013731476, 0.6828475, -0.71276474, 0.061940134, 0.14781463
297954.132091333, 000027, 0.021612696, 0.015279163, -0.014741205, 0.6828647, -0.71261823, 0.062093165, 0.14837606
297954.148759166, 000028, 0.022075117, 0.01524191, -0.015873365, 0.6826649, -0.7127114, 0.062243126, 0.14878486
297954.165427041, 000029, 0.022607796, 0.015219359, -0.017046537, 0.6827571, -0.71246845, 0.062309545, 0.14949594
297954.182095, 000030, 0.022442339, 0.014653058, -0.0148124825, 0.68279177, -0.71240103, 0.061970912, 0.14979875
297954.198762708, 000031, 0.022799088, 0.014488202, -0.014746303, 0.6827067, -0.7124319, 0.061566666, 0.15020598
297954.21543075, 000032, 0.02332139, 0.014473788, -0.015382841, 0.68267584, -0.7124101, 0.0611917, 0.15060277
297954.232098458, 000033, 0.02390328, 0.014519766, -0.016224995, 0.68270236, -0.71237296, 0.060783118, 0.15082291
297954.248766333, 000034, 0.024501389, 0.0145892585, -0.017106516, 0.6823731, -0.71279407, 0.060200293, 0.15055718
297954.265434291, 000035, 0.025144074, 0.014668446, -0.018014867, 0.68246037, -0.7128482, 0.05958241, 0.15015061
297954.282102166, 000036, 0.026587546, 0.0142869055, -0.020878028, 0.68262655, -0.7127612, 0.05913161, 0.14998625
297954.298770083, 000037, 0.027527241, 0.0142033165, -0.022619983, 0.68273973, -0.7126615, 0.05888317, 0.15004288
297954.315437958, 000038, 0.028347142, 0.014190979, -0.024073973, 0.6826945, -0.712659, 0.05875922, 0.15030828
297954.332105833, 000039, 0.02915684, 0.014179843, -0.025482496, 0.6825255, -0.7127304, 0.058610428, 0.1507946
297954.348773708, 000040, 0.02996936, 0.014154766, -0.026915882, 0.68209094, -0.71303093, 0.058353126, 0.1514392
297954.365441458, 000041, 0.030795945, 0.014120962, -0.028395435, 0.681883, -0.713076, 0.05807577, 0.15226753
297954.382109375, 000042, 0.031125195, 0.014092969, -0.02896301, 0.6817873, -0.7129642, 0.05801097, 0.15324129
297954.398777208, 000043, 0.031733062, 0.014076665, -0.03018817, 0.68172985, -0.7128312, 0.058216896, 0.1540357
297954.415445125, 000044, 0.03239755, 0.014064949, -0.03162615, 0.6818087, -0.7125861, 0.058445387, 0.1547325
297954.432113041, 000045, 0.03306731, 0.014045905, -0.03310653, 0.68202317, -0.7122215, 0.058371797, 0.15549149
297954.448780875, 000046, 0.033736214, 0.0140238125, -0.03455368, 0.68205345, -0.71212006, 0.058021754, 0.15595396
297954.465448833, 000047, 0.034421973, 0.014003187, -0.035985146, 0.6823607, -0.7117654, 0.05732605, 0.15648502
297954.482116666, 000048, 0.034625746, 0.013335384, -0.036442455, 0.68285716, -0.7111103, 0.056997348, 0.15741506
297954.498784416, 000049, 0.035161473, 0.013108186, -0.037657347, 0.6831133, -0.7105843, 0.057284623, 0.1585711
297954.515452291, 000050, 0.035884596, 0.012998674, -0.039115082, 0.68292236, -0.7104657, 0.057805695, 0.15973073
